SampleNo_coarse,SampleNo_fine,subSite,Site,voTop,voBottom,voUnits,SoilHorizon,mass,mass_fine,mass_frac_fine,mass_coarse,mass_frac_coarse,MunsellHue,MunsellValue,MunsellChroma,pH_DDI,pH_CaCl2,cec_direct,cec_summation,ssa_untreated,ssa_total,ssa_occluded,ssa_noiron,ssa_percFe,ssa_total_inv,ssa_total_inv_cum,sand,silt,clay,coarse,bulk_sand,bulk_silt,bulk_clay,bd,bd_stdev,bd_stderr,bd_bagerr,c_pct,c_inventory,c_inventory_cum,c_pctse,c_L1,c_L2,c13_norm,C13_normse,C13_L1,C13_L2,n_pct,n_pctse,n_L1,n_L2,N15_norm,N15_normse,N15_L1,N15_L2,c_n,c_n_se,C_N_L1,C_N_L2,Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,MnO,Fe2O3,P2O5,LOI,Total,Ba_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cu_ppm,Hf_ppm,La_ppm,Nb_ppm,Nd_ppm,Ni_ppm,Pb_ppm,Rb_ppm,Sc_ppm,Sr_ppm,Th_ppm,V_ppm,Y_ppm,Zn_ppm,Zr_ppm,DFc_pct,DFc_pctse,DFc_L1,DFc_L2,DFc13_norm,DFC13_normse,DFC13_L1,DFC13_L2,DFn_pct,DFn_pctse,DFn_L1,DFn_L2,DFN15_norm,DFN15_normse,DFN15_L1,DFN15_L2,DFc_n,DFc_n_se,DFC_N_L1,DFC_N_L2,LFc_pct,LFc_pctse,LFc_L1,LFc_L2,LFc13_norm,LFC13_normse,LFC13_L1,LFC13_L2,LFn_pct,LFn_pctse,LFn_L1,LFn_L2,LFN15_norm,LFN15_normse,LFN15_L1,LFN15_L2,LFc_n,LFc_n_se,LFC_N_L1,LFC_N_L2,coarse_c_pct,coarse_c_pctse,coarse_c_L1,coarse_c_L2,coarse_c13_norm,coarse_C13_normse,coarse_C13_L1,coarse_C13_L2,coarse_n_pct,coarse_n_pctse,coarse_n_L1,coarse_n_L2,coarse_N15_norm,coarse_N15_normse,coarse_N15_L1,coarse_N15_L2,coarse_c_n,coarse_c_n_se,coarse_C_N_L1,coarse_C_N_L2,one
1204104.002,1204104.001,LP_Well1,LP_Well1,152,163,cm,,,,,,,,,,,,,,4.03335,5.1877,,2.456,0.53,4.39E+05,1.32E+07,,,,,,,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,0.035541886,1.862152164,17.43171429,64.2549575,3.360261435,0.053328207,1.091145286,0.186877782,8.652075272,0.10843966,4.515388084,99.16900663,671.4857956,129.7967622,112.549575,78.33589642,45.10837715,7.500307571,55.60145681,19.0230595,61.41198695,45.77401858,14.44427357,89.7832457,17.77863214,65.33435857,9.089162285,135.0059976,38.58454872,149.3251314,234.8977743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204105.002,1204105.001,LP_Well1,LP_Well1,163,174,cm,,,,,,,,,,,,,,5.2622,5.8724,,1.7799,0.7,4.50E+05,1.37E+07,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.809086592,16.54587572,63.95574396,2.458738203,0.157693038,1.137693038,0.314931272,9.053691017,0.152734465,3.09344366,97.740714,743.3098112,221.127865,94.59415983,98.11205417,68.706214,8.0293786,40.04312417,21.20913408,42.70819035,52.03483883,14.76572497,95.83239367,21.67137517,68.67137517,9.876930383,151.4960473,32.92787107,165.6920885,241.6016975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204106.002,1204106.001,LP_Well1,LP_Well1,174,185,cm,,,,,,,,,,,,,,6.365,7.8255,,2.2624,0.71,6.79E+05,1.44E+07,,,,,,,,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,0.450250463,1.980635157,19.04708239,69.03438182,3.298729686,0.254430673,1.280632586,0.189721662,9.225070973,0.172886392,4.621582243,107.7982776,583.2654289,105.7560275,105.9493931,83.4683707,48.77226907,9.205060687,29.75324007,21.62150792,32.68489508,34.87348282,15.23545052,88.62019132,18.49367414,82.94939313,8.550632586,140.0936741,29.1468885,149.4939313,279.1265172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204107.002,1204107.001,LP_Well1,LP_Well1,185,196,cm,,,,,,,,,,,,,,5.1502,3.8412,,1.2805,0.67,3.67E+05,1.47E+07,,,,,,,,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.853498531,19.01347796,61.56395104,3.756126344,0.115644466,1.232698335,0.16216572,9.123378062,0.114043193,4.419300273,99.19031809,687.9986283,135.2230949,105.6196866,94.87110674,49.09206662,8.452761998,28.83994126,20.54476003,36.10311461,40.05523997,15,99.63173354,19.96317335,78.41714005,8.396317335,143.3507835,29.18838395,145.8958864,252.4355534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204108.002,1204108.001,LP_Well1,LP_Well1,196,207,cm,,,,,,,,,,,,,,6.1926,3.1355,,0.9934,0.68,3.19E+05,1.51E+07,,,,,,,,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.758134393,19.91513466,59.70372556,4.189294009,0.044715055,1.196770625,0.158794443,9.872123621,0.084870428,4.501215188,99.26678569,773.2801235,157.1530767,88.45591172,91.22455334,36.15197057,6.639552023,115.1258014,18.1616671,121.1489372,59.77544666,14.80759853,109.1675644,20.43351287,67.30053862,8.926254598,145.005557,88.78352733,153.0413952,204.1485681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204109.002,1204109.001,LP_Well1,LP_Well1,207,218,cm,,,,,,,,,,,,,,5.9211,3.5357,,1.5271,0.57,4.27E+05,1.55E+07,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.855338782,20.9466404,57.77893315,4.395947988,0.03573997,1.336141158,0.133278009,11.28609955,0.074349926,4.729028075,100.5686822,812.0872205,185.9616791,92.42184261,106.6860327,27.75794952,7.122407127,42.99570586,20.99502227,43.79791982,56.4619614,15.0573997,108.4661218,22.68603267,67.7980683,8.981604751,167.3669538,46.35573556,160.2918278,219.7081722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204110.002,1204110.001,LP_Well1,LP_Well1,218,229,cm,,,,,,,,,,,,,,4.4131,3.80855,,1.6773,0.56,4.85E+05,1.60E+07,,,,,,,,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.802277683,19.01518399,62.28691584,3.866659285,0.08,1.21624293,0.112213015,9.433726746,0.090949676,4.094756639,100.3306851,706.9826236,51.30824531,85.27809199,90.50889268,31.67158432,7.657396934,27.38282112,21.4429063,27.52247359,40.67158432,14.82130153,103.7396934,20.96746167,74.68936968,9.226333902,149.5855503,28.34702896,156.6863373,224.0503237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204111.002,1204111.001,LP_Well1,LP_Well1,229,239,cm,,,,,,,,,,,,,,6.8001,3.633,,,,3.43E+05,1.63E+07,,,,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.612667707,19.76840423,60.72519328,4.275106604,0.025614838,1.220325186,0.152582319,9.440137286,0.079897868,4.405545232,99.83758229,775.9237649,123.7054914,82.79115965,92.89329173,48.03709482,7.720884035,32.79161727,19.72042642,40.97769458,54.35264344,14.64385162,112.2250997,21.19258104,68.08587276,9.72784538,147.196086,59.33709482,144.56606,235.5569076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204112.002,1204112.001,LP_Well1,LP_Well1,239,250,cm,,,,,,,,,,,,,,8.8811,6.5488,,2.6149,0.6,7.89E+05,1.71E+07,,,,,,,,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.30935475,18.2241762,59.60245691,3.664307183,0.02,1.264716669,0.177048807,9.31373087,0.098757618,4.780550663,96.9760742,714.3357231,148.0079278,127.6390459,90.00261961,59.11333241,8.776547635,90.25552185,18.94228595,102.6318075,58.93809458,15.19380946,109.2397629,19.17785744,57.4742865,9.564952433,151.4374052,121.4957121,138.1107128,268.884048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1204113.002,1204113.001,LP_Well1,LP_Well1,250,261,cm,,,,,,,,,,,,,,8.8004,10.11015,,1.9506,0.81,1.14E+06,1.82E+07,,,,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.47736997,19.56683219,60.11605054,3.965783121,0.016184249,1.291052012,0.125789598,10.73658832,0.094065972,4.810508137,100.6549996,802.5780178,163.7226423,86.85527478,95.81575074,64.02644748,7.014472522,105.1083169,17.97628558,112.1517639,66.697473,13.69078754,104.5919774,20.67102552,58.63150148,7.681575074,160.1933734,99.70293913,143.1054956,218.4867763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
